B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
B,1,2200
